"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZGROUNDZERO_GROUNDZERO_COMPONENTBASE_NAME","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground-Zero-Komponente","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component","Ground Zero Component"
"STR_DZGROUNDZERO_GROUNDZERO_COMPONENTBASE_DESC","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Kritische Ground-Zero-Komponente.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component.","Critical Ground Zero component."
"STR_DZGROUNDZERO_GROUNDZERO_ALPHADATAMODULE_NAME","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha-Datenmodul","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module","GroundZero Alpha Data Module"
"STR_DZGROUNDZERO_GROUNDZERO_ALPHADATAMODULE_DESC","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Gesichertes Datenmodul aus der Signalquelle. Event-only Bauteil fuer GroundZero und OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ.","Secured data module from the signal source. Event-only component for GroundZero and OperationDeutschZ."
"STR_DZGROUNDZERO_GROUNDZERO_ENERGYCELL_NAME","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energiezelle","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell","GroundZero Energy Cell"
"STR_DZGROUNDZERO_GROUNDZERO_ENERGYCELL_DESC","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Instabile Energiezelle aus der Generatorstation. Nicht fuer normalen Mapspawn vorgesehen.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning.","Unstable energy cell from the generator station. Not intended for normal map spawning."
"STR_DZGROUNDZERO_GROUNDZERO_BIOSAMPLE_NAME","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero biologische Probe","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample","GroundZero Biological Sample"
"STR_DZGROUNDZERO_GROUNDZERO_BIOSAMPLE_DESC","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Versiegelte Probe aus einer kontaminierten GroundZero-Zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone.","Sealed sample from a contaminated GroundZero zone."
"STR_DZGROUNDZERO_GROUNDZERO_AUTHCHIP_NAME","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentifizierungschip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip","GroundZero Authentication Chip"
"STR_DZGROUNDZERO_GROUNDZERO_AUTHCHIP_DESC","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentifizierungschip fuer Terminal-, Cache- und Kampagnenlogik.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic.","Authentication chip for terminal, cache and campaign logic."
