"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZKOTHZ_DZKOTHZ_RUNTIMEFOGEMITTER_NAME","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime-Nebel-Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter","DeutschZ KotHZ Runtime Fog Emitter"
"STR_DZKOTHZ_DZKOTHZ_RUNTIMEFOGEMITTER_DESC","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only deaktivierter sicherer Emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter.","Runtime-only disabled safe emitter."
"STR_DZKOTHZ_DZKOTHZ_RUNTIMEFLAGPOLE_NAME","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime-Flaggenmast","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole","DeutschZ KotHZ Runtime Flagpole"
"STR_DZKOTHZ_DZKOTHZ_RUNTIMEFLAGPOLE_DESC","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH-Capture-Mast. Kein BaseBuilding, um alte Storage-Crashes zu vermeiden.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes.","Runtime-only KOTH capture mast. Non-BaseBuilding to avoid old storage crashes."
"STR_DZKOTHZ_DZKOTHZ_REWARDCRATE_NAME","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected-Siege-Rewardkiste","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest","DeutschZ KotHZ Infected Siege Reward Chest"
"STR_DZKOTHZ_DZKOTHZ_REWARDCRATE_DESC","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ Rewardkiste mit eigener SeaChest-Textur.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin.","DeutschZ KotHZ reward chest with custom SeaChest skin."
"STR_DZKOTHZ_DZKOTHZ_DROPCRATE_NAME","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop-Kiste","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate","DeutschZ KotHZ Drop Crate"
"STR_DZKOTHZ_DZKOTHZ_FLAG_NAME","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flagge","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag","DeutschZ KotHZ Flag"
"STR_DZKOTHZ_DZKOTHZ_BIOHAZARDREADER_NAME","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard-Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader","DeutschZ KotHZ Biohazard Reader"
"STR_DZKOTHZ_DZKOTHZ_BIOHAZARDREADER_DESC","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","KotHZ-Kartenleser auf GPSReceiver-Basis.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader.","GPSReceiver based KotHZ card reader."
